time_s,c0_puits_1_pct,c0_puits_2_pct,c0_puits_3_pct,c0_systeme_pct
0,10.0,10.0,10.0,19.5
10,79.8144688432689,63.02866342860483,65.2816663683133,96.87956676342834
20,81.52697747017177,64.40005782272367,67.37906303691122,96.56210083905565
30,82.74801877975678,66.10819739695253,69.92160175123443,96.50336566969692
40,83.89201713545205,68.14725482453305,72.53168667878975,96.50831920702046
50,84.99740627061169,70.22482553536965,74.95266035017457,96.52954386017672
60,86.04901474849588,72.2273624603836,77.15141240310946,96.55441723892052
70,87.02931563958492,74.11868473044355,79.13606037952,96.57949739366715
80,87.93017445936005,75.86912770649569,80.90565451135132,96.60338555715616
90,88.75197989340586,77.4990754426374,82.49801654362913,96.62560235136016
100,89.50597759021744,79.00523252564793,83.9293224424166,96.64616135605146
110,90.1961098113818,80.41326966465351,85.21879962928891,96.66516189195345
120,90.81707454405212,81.69598725640274,86.37482973923689,96.68233506770522
130,91.3841409154507,82.88599510128134,87.43943675461475,96.71904612885594
140,97.94345854386626,91.96010730733973,95.34258366640442,99.82570009778064
150,98.12201856980452,92.267198538273,95.64127909011614,99.82653226863938
160,98.27200749005988,92.6744391662012,96.01894726827992,99.83050147170844
170,98.41489139732444,93.15391587473896,96.40420976337757,99.83535292154528
180,98.54830733026364,93.64433320373834,96.76131029296924,99.84056735254096
190,98.67147805147452,94.1170161532049,97.0821085325901,99.84571407760382
200,98.7853348236868,94.5623504874542,97.36979578726104,99.85064943084105
210,98.88837913906124,94.97614127863784,97.6270450342768,99.85522903272285
220,98.98248065883584,95.36085392997956,97.85722358187208,99.85943262598587
230,99.06758174350344,95.71613110504654,98.06249211233823,99.86330003122508
240,99.1450111304348,96.04448319901744,98.246481676698,99.8668431772806
250,99.21526873226732,96.34824716338572,98.41100826752478,99.87008104160108
260,99.28002467024972,96.62821142790176,98.56277969813829,99.8735861996174
